"Title"	"Description"	"Genre"	"Rating"	"Link"	"Date"
"Star Wars: The Last Jedi"	"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order."	"FANTASY,ADVENTURE,SCIENCE FICTION,ACTION"	"71.0"	"/movie/181808"	"December 15, 2017"
"Elf"	"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic publisher."	"COMEDY,FAMILY,FANTASY"	"66.0"	"/movie/10719"	"October 9, 2003"
"The Lord of the Rings: The Fellowship of the Ring"	"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."	"ADVENTURE,FANTASY,ACTION"	"82.0"	"/movie/120"	"December 19, 2001"
"Home Alone 3"	"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try break into his house to get it back."	"COMEDY,FAMILY"	"51.0"	"/movie/9714"	"December 12, 1997"
"The Mule"	"A 90-year-old horticulturalist and WWII veteran is caught transporting $3 million worth of cocaine through Michigan for a Mexican drug cartel."	"CRIME,DRAMA,THRILLER"	"73.0"	"/movie/504172"	"December 14, 2018"
"Ready Player One"	"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune."	"ADVENTURE,SCIENCE FICTION"	"77.0"	"/movie/333339"	"March 29, 2018"
"Crazy Rich Asians"	"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous."	"COMEDY,DRAMA,ROMANCE"	"70"	"/movie/455207"	"August 15, 2018"
"How the Grinch Stole Christmas"	"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch."	"FAMILY,COMEDY,FANTASY"	"65.0"	"/movie/8871"	"November 17, 2000"
"Harry Potter and the Philosopher's Stone"	"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame."	"ADVENTURE,FANTASY,FAMILY"	"78.0"	"/movie/671"	"November 16, 2001"
"Die Hard"	"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."	"ACTION,THRILLER"	"76.0"	"/movie/562"	"July 15, 1988"
